num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,1370275.9735810792,14.130522718088011
0,splitOrderHash_MaxLoad_16,2,749956.877479545,13.527770987165555
0,splitOrderHash_MaxLoad_16,3,616237.8678169773,13.331388317032832
0,splitOrderHash_MaxLoad_16,4,353404.344046197,12.77536813094328
0,splitOrderHash_MaxLoad_16,5,247672.4977028376,12.419862578642269
0,splitOrderHash_MaxLoad_16,6,261974.18506380383,12.476001247597981
0,splitOrderHash_MaxLoad_16,7,189285.3154345139,12.151010761206509
0,splitOrderHash_MaxLoad_16,8,213068.33314512298,12.269368206130013
0,splitOrderHash_MaxLoad_16,9,164413.38127627532,12.0101391529164
0,splitOrderHash_MaxLoad_16,10,166831.55185041216,12.024739910792983
0,splitOrderHash_MaxLoad_16,11,55472.07009007,10.923634931445603
0,splitOrderHash_MaxLoad_16,12,141857.05065005994,11.862575143972208
0,splitOrderHash_MaxLoad_16,13,114196.05406954768,11.645672022801023
0,splitOrderHash_MaxLoad_16,14,119516.57933988603,11.691210379976212
0,splitOrderHash_MaxLoad_16,15,19267.752198980386,9.866188106912812
0,splitOrderHash_MaxLoad_16,16,29153.4055113347,10.280327012101866
0,splitOrderHash_MaxLoad_16,17,19478.509652478067,9.87706706772345
0,splitOrderHash_MaxLoad_16,18,24830.38981477274,10.119823577725445
0,splitOrderHash_MaxLoad_16,19,33853.96213231212,10.429811321189668
0,splitOrderHash_MaxLoad_16,20,19808.083441155333,9.893845387973196
0,splitOrderHash_MaxLoad_16,21,23873.442108693398,10.080521911228027
0,splitOrderHash_MaxLoad_16,22,15685.637242345763,9.66050074730003
0,splitOrderHash_MaxLoad_16,23,18021.18390167642,9.79930322832034
0,splitOrderHash_MaxLoad_16,24,20209.348642588575,9.913900580417058
0,splitOrderHash_MaxLoad_16,25,13131.02623828532,9.482733124051002
0,splitOrderHash_MaxLoad_16,26,19116.927924976,9.858329500316126
0,splitOrderHash_MaxLoad_16,27,19855.84261147219,9.896253580915804
0,splitOrderHash_MaxLoad_16,28,14223.779884161537,9.562670482673425
0,splitOrderHash_MaxLoad_16,29,8954.380030514736,9.099898080441545
0,splitOrderHash_MaxLoad_16,30,9886.46384915629,9.19892181256757
0,splitOrderHash_MaxLoad_16,31,7024.712023686767,8.857189500292208
1,Refinable16,1,1163846.2791834455,13.967240835995316
1,Refinable16,2,879553.8902668566,13.687170115036833
1,Refinable16,3,506968.2789947833,13.13620371453074
1,Refinable16,4,415639.69026530284,12.937574034766861
1,Refinable16,5,419466.6062634754,12.946739198058106
1,Refinable16,6,390225.62845837465,12.87448038532791
1,Refinable16,7,287294.4049414637,12.568262770157016
1,Refinable16,8,240348.21649605947,12.389844052849638
1,Refinable16,9,91291.68606614995,11.42181500072968
1,Refinable16,10,216253.62224817264,12.284207174934409
1,Refinable16,11,189374.9301679945,12.151484086495838
1,Refinable16,12,148194.69225890204,11.906282176485501
1,Refinable16,13,64857.15212245031,11.079942470825324
1,Refinable16,14,80910.46932926838,11.30109850541871
1,Refinable16,15,42816.448880799435,10.664677627382856
1,Refinable16,16,54452.76603715639,10.905088926651318
1,Refinable16,17,75995.69560380101,11.238431980872452
1,Refinable16,18,84341.99328806417,11.342635160979825
1,Refinable16,19,53661.48404053803,10.890450779962038
1,Refinable16,20,85042.61910856626,11.350907811090085
1,Refinable16,21,51174.61084267185,10.842998806058404
1,Refinable16,22,45754.863742015776,10.731053376353913
1,Refinable16,23,51987.58952262916,10.85876030605265
1,Refinable16,24,58351.15961259498,10.974234510912172
1,Refinable16,25,51531.01213606867,10.849939082815164
1,Refinable16,26,53738.334079400534,10.89188188204999
1,Refinable16,27,44287.45035376815,10.698456628174355
1,Refinable16,28,38182.29372493094,10.550127172084194
1,Refinable16,29,25491.17024099607,10.146087406123952
1,Refinable16,30,40383.88925122212,10.606186203504645
1,Refinable16,31,19605.37516649865,9.883559050809525
2,concHashMap,1,1508204.6332046331,14.226430516755402
2,concHashMap,2,1146736.3882390715,13.952430542529866
2,concHashMap,3,603930.3789059197,13.31121420356118
2,concHashMap,4,466694.35719852714,13.053429841011003
2,concHashMap,5,423831.1795645558,12.957090493522447
2,concHashMap,6,276571.6182205382,12.530225083477866
2,concHashMap,7,253626.22089322083,12.443616890889702
2,concHashMap,8,223203.32483672677,12.315838405600239
2,concHashMap,9,222347.7251604239,12.31199776499118
2,concHashMap,10,198070.79050052486,12.196379773559274
2,concHashMap,11,186257.89267820225,12.134887512139652
2,concHashMap,12,63463.333741614115,11.058217596716945
2,concHashMap,13,92092.73369912566,11.430551323355997
2,concHashMap,14,56621.61473520902,10.944146077072537
2,concHashMap,15,41951.71106346329,10.644274499227144
2,concHashMap,16,58889.93647542552,10.983425497239198
2,concHashMap,17,62788.63149038235,11.047529308845673
2,concHashMap,18,57968.225296985715,10.967650299702411
