num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,575857.7401038847,13.263615930187385
0,splitOrderHash_MaxLoad_16,2,342265.31722860923,12.743341496652118
0,splitOrderHash_MaxLoad_16,3,230981.02259918326,12.350090832878879
0,splitOrderHash_MaxLoad_16,4,206096.75418221837,12.236101018002564
0,splitOrderHash_MaxLoad_16,5,163344.77835747023,12.00361845054015
0,splitOrderHash_MaxLoad_16,6,145907.65504512194,11.890729200887213
0,splitOrderHash_MaxLoad_16,7,112257.38372941481,11.628549582767771
0,splitOrderHash_MaxLoad_16,8,108814.87542873061,11.597403326748823
0,splitOrderHash_MaxLoad_16,9,88370.68320258892,11.389295555641935
0,splitOrderHash_MaxLoad_16,10,14919.082625609351,9.610396385648185
0,splitOrderHash_MaxLoad_16,11,76917.04189363604,11.250482742042221
0,splitOrderHash_MaxLoad_16,12,68275.69726555832,11.131309158894053
0,splitOrderHash_MaxLoad_16,13,73223.86365716587,11.20127665306635
0,splitOrderHash_MaxLoad_16,14,85451.38841415895,11.355702936675737
0,splitOrderHash_MaxLoad_16,15,25760.98596567246,10.156616454550743
0,splitOrderHash_MaxLoad_16,16,58600.12505266687,10.97849210956738
0,splitOrderHash_MaxLoad_16,17,13517.603501924434,9.511748078110474
0,splitOrderHash_MaxLoad_16,18,23491.55443380773,10.064396249742282
0,splitOrderHash_MaxLoad_16,19,54363.98755499597,10.903457220155264
0,splitOrderHash_MaxLoad_16,20,18250.126747130256,9.811927304034754
0,splitOrderHash_MaxLoad_16,21,14563.687222680088,9.586286533005941
0,splitOrderHash_MaxLoad_16,22,10449.728082400703,9.25433123623151
0,splitOrderHash_MaxLoad_16,23,12360.432180039088,9.422255696422965
0,splitOrderHash_MaxLoad_16,24,16156.827212750193,9.690097976954014
0,splitOrderHash_MaxLoad_16,25,13129.991776686149,9.482654340997039
0,splitOrderHash_MaxLoad_16,26,19573.409288600527,9.88192725516115
0,splitOrderHash_MaxLoad_16,27,13554.635346422592,9.514483859794632
0,splitOrderHash_MaxLoad_16,28,18040.931626492817,9.800398434549985
0,splitOrderHash_MaxLoad_16,29,12471.437290744872,9.431196291915482
