num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,577137.2836456607,13.265835443785791
0,splitOrderHash_MaxLoad_16,2,325625.7713260458,12.693504060242574
0,splitOrderHash_MaxLoad_16,3,195522.53397204028,12.18343091504935
0,splitOrderHash_MaxLoad_16,4,159567.50822570507,11.980222360726398
0,splitOrderHash_MaxLoad_16,5,139150.95652367515,11.843314640977663
0,splitOrderHash_MaxLoad_16,6,121075.78254305152,11.704171930542318
0,splitOrderHash_MaxLoad_16,7,109493.04719150334,11.603616330254733
0,splitOrderHash_MaxLoad_16,8,96643.84905390504,11.478787841161767
0,splitOrderHash_MaxLoad_16,9,82572.01931524677,11.321426152910508
0,splitOrderHash_MaxLoad_16,10,74259.50280292492,11.215321032353485
0,splitOrderHash_MaxLoad_16,11,69009.15958575183,11.141994522388803
0,splitOrderHash_MaxLoad_16,12,67376.54595484694,11.11805225347454
0,splitOrderHash_MaxLoad_16,13,84112.0709232982,11.339905366259584
0,splitOrderHash_MaxLoad_16,14,80046.93952533766,11.290368485655742
0,splitOrderHash_MaxLoad_16,15,62483.871350707595,11.04266374403302
0,splitOrderHash_MaxLoad_16,16,33255.71449570037,10.411981895849326
0,splitOrderHash_MaxLoad_16,17,24022.48889320226,10.08674570780153
0,splitOrderHash_MaxLoad_16,18,21295.31750040674,9.96624249186846
0,splitOrderHash_MaxLoad_16,19,28240.649873834896,10.248517703871958
0,splitOrderHash_MaxLoad_16,20,38027.136925452745,10.546055313456478
0,splitOrderHash_MaxLoad_16,21,17776.093394172607,9.785609765813213
0,splitOrderHash_MaxLoad_16,22,15085.49553740871,9.621489000732689
0,splitOrderHash_MaxLoad_16,23,16599.98452881442,9.717157042345068
0,splitOrderHash_MaxLoad_16,24,16267.029139454638,9.696895586088058
0,splitOrderHash_MaxLoad_16,25,13391.966935769315,9.502410323772304
0,splitOrderHash_MaxLoad_16,26,8944.142221878767,9.098754096641304
0,splitOrderHash_MaxLoad_16,27,19644.088406255465,9.885531727569262
0,splitOrderHash_MaxLoad_16,28,12003.025242482116,9.392914000537557
0,splitOrderHash_MaxLoad_16,29,22212.858268414406,10.008426601467978
0,splitOrderHash_MaxLoad_16,30,19191.419439602876,9.862218553937083
0,splitOrderHash_MaxLoad_16,31,11736.857770879635,9.370489406013547
1,Refinable16,1,747814.5120884215,13.52491024771345
1,Refinable16,2,333992.41169240634,12.718873552216932
1,Refinable16,3,225112.16213478366,12.324354055354334
1,Refinable16,4,180451.99615998153,12.10322007213212
1,Refinable16,5,140647.37172256463,11.854011127092603
1,Refinable16,6,126364.41982303926,11.746925232327724
1,Refinable16,7,153243.08337343196,11.939780719817012
1,Refinable16,8,117532.98269326829,11.674474276948914
