num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,562575.2444389437,13.240280172006042
0,splitOrderHash_MaxLoad_16,2,307176.2515896371,12.635176971244073
0,splitOrderHash_MaxLoad_16,3,213174.1632914091,12.269864778617952
0,splitOrderHash_MaxLoad_16,4,176440.28202214677,12.080737752620154
0,splitOrderHash_MaxLoad_16,5,157406.69324741027,11.966588137869525
0,splitOrderHash_MaxLoad_16,6,125774.77259921114,11.742248067361153
0,splitOrderHash_MaxLoad_16,7,121796.89393561086,11.710110132583104
0,splitOrderHash_MaxLoad_16,8,101585.8568106714,11.52865959981728
0,splitOrderHash_MaxLoad_16,9,32684.8335508509,10.394666443509797
0,splitOrderHash_MaxLoad_16,10,57246.71904741459,10.955125610558785
0,splitOrderHash_MaxLoad_16,11,53725.71731891479,10.891647073099843
0,splitOrderHash_MaxLoad_16,12,47413.79105975039,10.766668415992887
0,splitOrderHash_MaxLoad_16,13,46615.54805666772,10.749689413749907
0,splitOrderHash_MaxLoad_16,14,29482.140309043585,10.291539945738547
0,splitOrderHash_MaxLoad_16,15,64806.587978507545,11.079162543507687
0,splitOrderHash_MaxLoad_16,16,28451.525713066363,10.255957065992348
0,splitOrderHash_MaxLoad_16,17,35401.46321327753,10.474508431976057
0,splitOrderHash_MaxLoad_16,18,9858.579660626281,9.19609738657397
0,splitOrderHash_MaxLoad_16,19,53007.12044648958,10.878181531557342
0,splitOrderHash_MaxLoad_16,20,9243.184676426607,9.131641767204375
0,splitOrderHash_MaxLoad_16,21,17703.12879787435,9.781496671181744
0,splitOrderHash_MaxLoad_16,22,12117.465254077193,9.402403100298642
0,splitOrderHash_MaxLoad_16,23,9407.694383898091,9.149283184906059
0,splitOrderHash_MaxLoad_16,24,14604.605854548348,9.589092227436003
0,splitOrderHash_MaxLoad_16,25,10798.323279554443,9.28714614916638
0,splitOrderHash_MaxLoad_16,26,12235.422747926677,9.412090527623677
0,splitOrderHash_MaxLoad_16,27,13758.661249239662,9.529423813820905
0,splitOrderHash_MaxLoad_16,28,11864.329963151764,9.381291695564512
0,splitOrderHash_MaxLoad_16,29,18939.54459486231,9.84900732182915
0,splitOrderHash_MaxLoad_16,30,12692.50564657845,9.448766991696647
0,splitOrderHash_MaxLoad_16,31,15689.345929995394,9.660737157796031
1,Refinable16,1,685490.228336795,13.437889523086108
1,Refinable16,2,400470.95384171786,12.900396518120724
1,Refinable16,3,246944.67698401527,12.416919610701088
1,Refinable16,4,184748.28969270817,12.126749581353298
1,Refinable16,5,185074.48322577422,12.128513635065197
1,Refinable16,6,138594.18375648448,11.839305400618487
1,Refinable16,7,135032.03635062417,11.8132673355688
1,Refinable16,8,110189.31626427364,11.609955222401075
1,Refinable16,9,115042.7613944103,11.653059176442955
1,Refinable16,10,108155.34568611589,11.59132385860271
1,Refinable16,11,74466.65122724764,11.218106669615816
1,Refinable16,12,74802.87572175426,11.222611608701559
1,Refinable16,13,57390.78533550653,10.957639035196035
1,Refinable16,14,79622.01835446767,11.285045946075604
1,Refinable16,15,71877.44607933689,11.182717809928727
1,Refinable16,16,62201.27836067287,11.038130830938465
1,Refinable16,17,61860.78477828785,11.032641732519531
1,Refinable16,18,56144.8267033779,10.935689822411403
1,Refinable16,19,51711.06751293552,10.853427109403354
1,Refinable16,20,43755.26977530356,10.686367336538938
1,Refinable16,21,69638.41645026529,11.151071654540667
1,Refinable16,22,55682.75972666447,10.927425857836518
1,Refinable16,23,42077.02283183413,10.647257094714623
1,Refinable16,24,52123.62054838218,10.861373494451295
1,Refinable16,25,35702.63135533615,10.482979672483856
1,Refinable16,26,35620.18481889095,10.480667745457113
1,Refinable16,27,45758.29735205885,10.73112841714594
1,Refinable16,28,38313.23676354296,10.553550722863466
1,Refinable16,29,39134.3175875102,10.574755048690973
1,Refinable16,30,32144.718092429568,10.378003426664243
1,Refinable16,31,34138.36141327354,10.438176999100317
2,concHashMap,1,839715.1686148059,13.640818028334811
2,concHashMap,2,675977.1249340922,13.42391451559766
2,concHashMap,3,284455.3675305576,12.558331639856824
2,concHashMap,4,182918.68715599854,12.116797000597748
2,concHashMap,5,161482.79965959428,11.992153912317168
2,concHashMap,6,134314.36545864327,11.807938342231315
2,concHashMap,7,113056.69114720885,11.635644663457558
2,concHashMap,8,110742.82967863537,11.61496594250341
2,concHashMap,9,43495.82940239775,10.680420336673448
2,concHashMap,10,92361.26183955924,11.433462925561757
2,concHashMap,11,29695.9109027646,10.298764635270429
2,concHashMap,12,61962.43713136223,11.034283627704344
2,concHashMap,13,26601.87160127838,10.18873685324489
2,concHashMap,14,37040.89203357831,10.519777771450102
2,concHashMap,15,40244.73629032875,10.602734498899302
2,concHashMap,16,26672.897455512273,10.191403252276638
2,concHashMap,17,30579.56221075557,10.328087163185533
2,concHashMap,18,32308.49703779545,10.383085540800524
2,concHashMap,19,26873.882214461642,10.19891017254496
2,concHashMap,20,37040.49414982436,10.519767029649104
2,concHashMap,21,22707.589375936404,10.030454481334115
2,concHashMap,22,29180.466595660862,10.281254812204619
2,concHashMap,23,26971.654948381645,10.202541776816304
