num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,610713.1297215759,13.322382618442333
0,splitOrderHash_MaxLoad_16,2,309152.4585349265,12.641589827518336
0,splitOrderHash_MaxLoad_16,3,218314.39455960528,12.293691479711843
0,splitOrderHash_MaxLoad_16,4,174719.18259377615,12.07093529314962
0,splitOrderHash_MaxLoad_16,5,137113.83602007895,11.828566779642061
0,splitOrderHash_MaxLoad_16,6,119964.63442577129,11.694952265209166
0,splitOrderHash_MaxLoad_16,7,107675.19561891165,11.586874526673961
0,splitOrderHash_MaxLoad_16,8,102616.30532045019,11.538752120344112
0,splitOrderHash_MaxLoad_16,9,89912.61393052094,11.406593521301415
0,splitOrderHash_MaxLoad_16,10,80147.79252942426,11.291627615916987
0,splitOrderHash_MaxLoad_16,11,79048.19647587331,11.277813027397888
0,splitOrderHash_MaxLoad_16,12,45138.06605955967,10.717481206289348
0,splitOrderHash_MaxLoad_16,13,72178.76659480068,11.18690119014278
0,splitOrderHash_MaxLoad_16,14,56084.77775004697,10.934619713337176
0,splitOrderHash_MaxLoad_16,15,45252.86167784036,10.720021188627648
0,splitOrderHash_MaxLoad_16,16,43874.23538176288,10.689082533420024
0,splitOrderHash_MaxLoad_16,17,47863.99732344528,10.77611887914987
0,splitOrderHash_MaxLoad_16,18,26311.87038983141,10.177775461961025
0,splitOrderHash_MaxLoad_16,19,15737.092358162372,9.663775775438086
0,splitOrderHash_MaxLoad_16,20,14128.86571064168,9.555975197200976
0,splitOrderHash_MaxLoad_16,21,8257.523760198868,9.018880034669085
0,splitOrderHash_MaxLoad_16,22,17283.50636715733,9.75750793653968
0,splitOrderHash_MaxLoad_16,23,16536.79768220244,9.713343339325036
0,splitOrderHash_MaxLoad_16,24,14473.79923914132,9.580095344882269
0,splitOrderHash_MaxLoad_16,25,10949.925770453203,9.301087956267624
0,splitOrderHash_MaxLoad_16,26,11944.083534053656,9.387991333003482
0,splitOrderHash_MaxLoad_16,27,12081.596201159544,9.39943859861721
0,splitOrderHash_MaxLoad_16,28,32152.08708842917,10.378232644772705
0,splitOrderHash_MaxLoad_16,29,8955.676743773252,9.100042883250058
0,splitOrderHash_MaxLoad_16,30,19837.810032734367,9.895344993331788
0,splitOrderHash_MaxLoad_16,31,7082.5878614501335,8.865394637056617
1,Refinable16,1,681106.1163329247,13.43147339726973
1,Refinable16,2,331119.24928643805,12.710233859225184
1,Refinable16,3,231061.07868553975,12.350437364447906
1,Refinable16,4,170588.20519031672,12.047007774429913
1,Refinable16,5,162376.93857767544,11.997675692794168
1,Refinable16,6,129657.12174155447,11.77264871997538
1,Refinable16,7,123470.20417032963,11.723755144163157
1,Refinable16,8,109177.45703867066,11.600729883607004
1,Refinable16,9,100717.41011222941,11.520073954648838
1,Refinable16,10,79052.57075007452,11.27786836266639
1,Refinable16,11,64784.58800565181,11.078823014633132
1,Refinable16,12,70379.71262555741,11.161660327683913
1,Refinable16,13,80403.36761464916,11.294811340044216
1,Refinable16,14,57140.73477270844,10.953272534867441
1,Refinable16,15,50590.54341326302,10.83151994874367
1,Refinable16,16,75257.8522161556,11.228675525554658
1,Refinable16,17,51287.10108892773,10.84519455878069
1,Refinable16,18,43844.78420254887,10.688411044375568
1,Refinable16,19,47992.06019356158,10.778790863573716
1,Refinable16,20,42832.97282247875,10.665063478018055
1,Refinable16,21,53079.79591880065,10.879551643653535
1,Refinable16,22,39720.510599219655,10.589622973041733
1,Refinable16,23,39330.80986857216,10.579763456837856
1,Refinable16,24,30468.149206182843,10.32443712862467
1,Refinable16,25,34497.521180615564,10.448642750600898
1,Refinable16,26,44968.86131198452,10.713725558385342
1,Refinable16,27,37229.27799772008,10.524850773654812
1,Refinable16,28,31912.57486291156,10.370755407427492
1,Refinable16,29,35096.22859437148,10.465848956227262
1,Refinable16,30,32236.621963068435,10.380858413310527
1,Refinable16,31,32853.61578681946,10.399817087469527
2,concHashMap,1,710843.2022064573,13.47420715310957
2,concHashMap,2,585744.1586663777,13.280638383919767
2,concHashMap,3,270659.4346465729,12.508616610832679
2,concHashMap,4,233040.4791312251,12.358967447635429
2,concHashMap,5,158154.7765905626,11.971329431189885
2,concHashMap,6,133085.0852875769,11.798743941662464
2,concHashMap,7,110005.79730551799,11.608288346163247
2,concHashMap,8,94990.12577642554,11.461528225985104
2,concHashMap,9,40206.549083954094,10.601785173874477
2,concHashMap,10,80667.01945043172,11.29808508981361
2,concHashMap,11,38606.043853377334,10.561164119708465
2,concHashMap,12,70038.26190247732,11.15679697030771
2,concHashMap,13,35165.55238753001,10.467822257065494
2,concHashMap,14,25794.050499076184,10.157899143506253
2,concHashMap,15,31032.85727895839,10.342801834381378
2,concHashMap,16,37439.76409953436,10.530488629811378
2,concHashMap,17,25029.384497399948,10.127805793528179
2,concHashMap,18,27148.896220900795,10.209091669688535
2,concHashMap,19,41109.96916752312,10.624005929892204
2,concHashMap,20,29737.168040276018,10.30015299154852
2,concHashMap,21,21176.32359963619,9.960639025223696
2,concHashMap,22,30667.706506368606,10.330965474604579
2,concHashMap,23,20481.26885556814,9.927266033072549
2,concHashMap,24,24618.52972724392,10.111254679321744
2,concHashMap,25,20922.401741078582,9.948575717568056
2,concHashMap,26,27515.51668774814,10.222505367720169
2,concHashMap,27,12034.141823083432,9.395503040909741
2,concHashMap,28,11759.808268085999,9.372442917585527
2,concHashMap,29,20238.650114419208,9.91534942722564
2,concHashMap,30,19537.52719379566,9.8800923666057
2,concHashMap,31,21031.737101603692,9.953787866407843
3,concSkipListSet,1,523299.9293545096,13.167910057360308
3,concSkipListSet,2,314703.9108254998,12.659387510129713
