num_map,Name,Threads,OperationsPerMilliSecond,LogOperationsPerMilliSecond
0,splitOrderHash_MaxLoad_16,1,694970.4985023387,13.451624675447905
0,splitOrderHash_MaxLoad_16,2,630123.693280991,13.353671417637083
0,splitOrderHash_MaxLoad_16,3,476585.36120404524,13.074402128118505
0,splitOrderHash_MaxLoad_16,4,361844.2477619933,12.79896914342063
0,splitOrderHash_MaxLoad_16,5,314613.81154632685,12.659101170569947
0,splitOrderHash_MaxLoad_16,6,312377.97735259664,12.651969199432676
0,splitOrderHash_MaxLoad_16,7,236614.70607721212,12.37418838445794
0,splitOrderHash_MaxLoad_16,8,232892.85531298473,12.358333778342992
0,splitOrderHash_MaxLoad_16,9,180922.12388099666,12.105821962860684
0,splitOrderHash_MaxLoad_16,10,179778.18966958567,12.09947909037809
0,splitOrderHash_MaxLoad_16,11,145722.25047614746,11.889457694841754
0,splitOrderHash_MaxLoad_16,12,66173.67280427483,11.100037971046426
0,splitOrderHash_MaxLoad_16,13,169389.60455996817,12.039956693083152
0,splitOrderHash_MaxLoad_16,14,97800.27618797997,11.490682680026897
0,splitOrderHash_MaxLoad_16,15,14596.251624197901,9.588520036664931
0,splitOrderHash_MaxLoad_16,16,12806.419192007155,9.457701823574483
0,splitOrderHash_MaxLoad_16,17,9356.091339403067,9.143782890311725
0,splitOrderHash_MaxLoad_16,18,11589.631544751855,9.357866145039146
0,splitOrderHash_MaxLoad_16,19,10064.914673679363,9.216810860509826
0,splitOrderHash_MaxLoad_16,20,8638.846126600562,9.064024302717513
0,splitOrderHash_MaxLoad_16,21,12608.553339980563,9.442130699140682
0,splitOrderHash_MaxLoad_16,22,10875.414298907717,9.294259951682518
0,splitOrderHash_MaxLoad_16,23,11108.125493825604,9.315432145970508
0,splitOrderHash_MaxLoad_16,24,11295.048465358708,9.332119719761309
0,splitOrderHash_MaxLoad_16,25,11911.53730062171,9.385262730478278
0,splitOrderHash_MaxLoad_16,26,12654.748593171598,9.445787806576563
0,splitOrderHash_MaxLoad_16,27,13448.056009539514,9.506589839977124
0,splitOrderHash_MaxLoad_16,28,13801.824297531999,9.532556057881578
0,splitOrderHash_MaxLoad_16,29,9874.39181152235,9.197699999166062
0,splitOrderHash_MaxLoad_16,30,11266.832506929946,9.329618512244664
0,splitOrderHash_MaxLoad_16,31,13102.77858833022,9.480579592677357
1,Refinable16,1,873011.7158172263,13.679704254911789
1,Refinable16,2,1065337.1259335016,13.878801857206529
1,Refinable16,3,608527.9101325982,13.31879805746155
1,Refinable16,4,539927.6496949409,13.199190427517655
1,Refinable16,5,433564.8569669537,12.979796676392434
1,Refinable16,6,335736.0845786345,12.724080667744408
1,Refinable16,7,258947.27574518553,12.464379751407378
1,Refinable16,8,197254.9994279605,12.19225258402931
1,Refinable16,9,179030.19344212403,12.095309749045903
1,Refinable16,10,155974.12077388118,11.957445379994875
1,Refinable16,11,144502.82358517285,11.881054326725533
1,Refinable16,12,145618.27334588562,11.888743910619
1,Refinable16,13,112239.24018523964,11.628387945199256
1,Refinable16,14,113444.92532487791,11.639072758708457
1,Refinable16,15,113670.85240635512,11.641062291608874
1,Refinable16,16,87800.01264320183,11.382816923623219
1,Refinable16,17,22010.55890531806,9.999277567442904
1,Refinable16,18,90734.87993960686,11.41569712601
1,Refinable16,19,87796.15839129343,11.382773024580473
1,Refinable16,20,25248.553068545025,10.136524128845519
1,Refinable16,21,61462.286126609855,11.02617903197625
1,Refinable16,22,11701.4656553792,9.367469382630786
1,Refinable16,23,74829.29566925451,11.222964740618702
1,Refinable16,24,69943.71629150023,11.155446144628954
1,Refinable16,25,71531.1675603294,11.17788854363564
1,Refinable16,26,60984.60870445517,11.018376794997923
1,Refinable16,27,63714.3152049116,11.062164544804137
1,Refinable16,28,9122.445384603665,9.118493181403524
1,Refinable16,29,59448.154669830896,10.99285986160069
1,Refinable16,30,55270.94091591687,10.920002568672214
1,Refinable16,31,59250.16545608704,10.989523851501277
2,concHashMap,1,429368.82782310003,12.970071567062071
